ASBURY AUTOMOTIVE GROUP,ABG,68,NYSE,RETAILING
AMERICAN FINANCIAL GROUP,AFG,105,NYSE,FINANCIALS
DISCOVERY COMMUNICATIONS,DISCA,33,NASDAQ,MEDIA
BERRY GLOBAL GROUP,BERY,46,NYSE,MATERIALS
SANMINA,SANM,26,NASDAQ,TECH
CALATLANTIC GROUP,CAA,1,ASX,ENGINEERING & CONSTRUCTION
DR PEPPER SNAPPLE GROUP,DPS,1,KLSE,FOOD BEVERAGE
DILLARD'S,DDS,79,NYSE,RETAILING
HRG GROUP,HRG,66,NYSE,HOUSEHOLD PRODUCTS
CMS ENERGY,CMS,49,NYSE,ENERGY
GRAYBAR ELECTRIC,PVT-21,0,PRIVATE,WHOLESALERS
BUILDERS FIRSTSOURCE,BLDR,13,NASDAQ,MATERIALS
YUM BRANDS,YUM,90,NYSE,"HOTELS, RESTAURANTS & LEISURE"
CASEY'S GENERAL STORES,CASY,132,NASDAQ,RETAILING
AMPHENOL,APH,91,NYSE,TECH
OSHKOSH,OSK,69,NYSE,INDUSTRIALS
IHEARTMEDIA,IHRT,1,OTCMKTS,MEDIA
TREEHOUSE FOODS,THS,49,NYSE,FOOD BEVERAGE
ALLEGHANY,Y,635,NYSE,FINANCIALS
EXPEDITORS INTERNATIONAL OF WASHINGTON,EXPD,74,NASDAQ,TRANSPORTATION
AVERY DENNISON,AVY,93,NYSE,MATERIALS
AMEREN,AEE,66,NYSE,ENERGY
HANESBRANDS,HBI,17,NYSE,APPAREL
MOTOROLA SOLUTIONS,MSI,128,NYSE,TECH
ST. JUDE MEDICAL,PVT-22,0,PRIVATE,HEALTH
HARLEY-DAVIDSON,HOG,41,NYSE,TRANSPORTATION
REGIONS FINANCIAL,RF,18,NYSE,FINANCIALS
INTERCONTINENTAL EXCHANGE,ICE,78,NYSE,FINANCIALS
ALASKA TRANSPORTATION GROUP,ALK,66,NYSE,TRANSPORTATION
OLD REPUBLIC INTERNATIONAL,ORI,22,NYSE,FINANCIALS
LAM RESEARCH,LRCX,151,NASDAQ,TECH
AK STEEL HOLDING,AKS,4,NYSE,MATERIALS
ROCKWELL AUTOMATION,ROK,179,NYSE,INDUSTRIALS
ADOBE SYSTEMS,ADBE,253,NASDAQ,TECH
